"Último","aggregatedTimestamp"
3.5693333333333332,"2002-11-03"
3.622333333333333,"2002-11-10"
3.550523809523809,"2002-11-17"
3.6017380952380953,"2002-11-24"
3.7015476190476195,"2002-12-01"
3.762095238095238,"2002-12-08"
3.548047619047619,"2002-12-15"
3.524547619047619,"2002-12-22"
3.1814583333333335,"2003-01-01"
3.3211190476190477,"2003-01-05"
3.320880952380952,"2003-01-12"
3.5173095238095238,"2003-01-19"
3.5771190476190475,"2003-01-26"
3.5656190476190472,"2003-02-02"
3.6189999999999998,"2003-02-09"
3.6110952380952375,"2003-02-16"
3.573071428571428,"2003-02-23"
3.5336428571428566,"2003-03-02"
3.4687142857142854,"2003-03-09"
3.435690476190476,"2003-03-16"
3.37247619047619,"2003-03-23"
3.2822619047619046,"2003-03-30"
3.1898333333333335,"2003-04-06"
3.0865714285714283,"2003-04-13"
3.005404761904762,"2003-04-20"
2.9502142857142855,"2003-04-27"
2.951976190476191,"2003-05-04"
2.9212142857142855,"2003-05-11"
2.977214285714286,"2003-05-18"
2.9971190476190475,"2003-05-25"
2.9087619047619047,"2003-06-01"
2.8590238095238094,"2003-06-08"
2.8805238095238095,"2003-06-15"
2.874595238095238,"2003-06-22"
2.837761904761905,"2003-06-29"
2.8779761904761907,"2003-07-06"
2.870190476190476,"2003-07-13"
2.885809523809524,"2003-07-20"
2.9640238095238094,"2003-07-27"
3.0221428571428572,"2003-08-03"
3.0049761904761905,"2003-08-10"
2.995,"2003-08-17"
2.9774999999999996,"2003-08-24"
2.9511666666666665,"2003-08-31"
2.915785714285714,"2003-09-07"
2.8997857142857146,"2003-09-14"
2.9199523809523806,"2003-09-21"
2.8988333333333336,"2003-09-28"
2.846571428571429,"2003-10-05"
2.849047619047619,"2003-10-12"
2.8620238095238095,"2003-10-19"
2.8591428571428565,"2003-10-26"
2.862,"2003-11-02"
2.9157142857142855,"2003-11-09"
2.936238095238095,"2003-11-16"
2.9349999999999996,"2003-11-23"
2.933738095238095,"2003-11-30"
2.9385238095238093,"2003-12-07"
2.9281904761904753,"2003-12-14"
2.9077857142857138,"2003-12-21"
2.7425092592592595,"2004-01-01"
2.846214285714286,"2004-01-04"
2.812104761904761,"2004-01-11"
2.839380952380953,"2004-01-18"
2.8971190476190483,"2004-01-25"
2.929785714285715,"2004-02-01"
2.911952380952381,"2004-02-08"
2.936714285714286,"2004-02-15"
2.9372619047619053,"2004-02-22"
2.885238095238095,"2004-02-29"
2.8908095238095237,"2004-03-07"
2.904095238095238,"2004-03-14"
2.9247619047619047,"2004-03-21"
2.9073333333333338,"2004-03-28"
2.879404761904762,"2004-04-04"
2.896357142857143,"2004-04-11"
2.915404761904762,"2004-04-18"
2.932714285714286,"2004-04-25"
3.0011666666666668,"2004-05-02"
3.113833333333333,"2004-05-09"
3.155571428571428,"2004-05-16"
3.1426190476190476,"2004-05-23"
3.1474285714285717,"2004-05-30"
3.1255428571428574,"2004-06-06"
3.142238095238095,"2004-06-13"
3.1199523809523813,"2004-06-20"
3.0846904761904756,"2004-06-27"
3.0400952380952386,"2004-07-04"
3.022547619047619,"2004-07-11"
3.0267142857142857,"2004-07-18"
3.0550952380952383,"2004-07-25"
3.047666666666667,"2004-08-01"
3.031423809523809,"2004-08-08"
2.988266666666667,"2004-08-15"
2.956833333333333,"2004-08-22"
2.9333333333333336,"2004-08-29"
2.904761904761905,"2004-09-05"
2.893095238095238,"2004-09-12"
2.8740952380952374,"2004-09-19"
2.8558571428571424,"2004-09-26"
2.8326666666666664,"2004-10-03"
2.8423095238095244,"2004-10-10"
2.8673095238095243,"2004-10-17"
2.866238095238095,"2004-10-24"
